"business_status","geometry__location__lat","geometry__location__lng","geometry__viewport__|","geometry__viewport__|__lat","geometry__viewport__|__lng","icon","icon_background_color","icon_mask_base_uri","name","opening_hours__open_now","photos__height","photos__html_attributions__-","photos__photo_reference","photos__width","place_id","plus_code__compound_code","plus_code__global_code","price_level","rating","reference","scope","types__001","types__002","types__003","types__004","types__005","types__006","user_ratings_total","vicinity"
"OPERATIONAL","45.5302006","-122.9617021","northeast","45.5316177302915","-122.9602423697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Subway","True","3120","<a href=""https://maps.google.com/maps/contrib/111111976192621479689"">James Wright (Jimmy)</a>","AWU5eFhvsWKu9cVYvPjqIkePRjzPXl_a5wrCMiPYapWG6y75PIAlaZJxsM65fo6qzM1OGVDDa_BqDnH1b9ljHZpHQVohtJ_fUrq5mhcZQ3BU-wMzyYhLUa-Jg5efrbDzd1ivwtvO7fsGkmYkYqYJtW-A8R0Hor4eZklI89OnydTxwCliU2Ip","4160","ChIJXdxV_FEFlVQR-jNsGKb7cVI","G2JQ+38 Hillsboro, OR, USA","84QVG2JQ+38","1","3.8","ChIJXdxV_FEFlVQR-jNsGKb7cVI","GOOGLE","meal_takeaway","restaurant","point_of_interest","food","establishment","","86","2020 Northeast Cornell Road, Hillsboro"
"","","","southwest","45.5289197697085","-122.9629403302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5241362","-122.9876294","northeast","45.5254128802915","-122.9864346697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Syun Izakaya","True","4032","<a href=""https://maps.google.com/maps/contrib/117435376145753616038"">S Y</a>","AWU5eFi-EsVl7D1ZRPsmKvr_BDgEemlpMViJkdiVRdBRFZG94hL8d0g_r2TNvR_cfBpoloImZRZTHofCpDjRX6NFladzJuCIinlcFMlOFtBKHgerJcVGn5dZ-bK4YiO8KHgpgXTn3cOCVn1a9wRFSv9-GbuT9B1IWG0-wKx-zTjVtp5pDibh","3024","ChIJ1ZscbbsalVQRSbgiD4VyVvU","G2F6+MW Hillsboro, OR, USA","84QVG2F6+MW","2","4.6","ChIJ1ZscbbsalVQRSbgiD4VyVvU","GOOGLE","restaurant","point_of_interest","food","establishment","","","1921","209 Northeast Lincoln Street, Hillsboro"
"","","","southwest","45.52271491970851","-122.9891326302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.520212","-122.928661","northeast","45.5216440802915","-122.9272794697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet","Coyote's Bar & Grill","True","1960","<a href=""https://maps.google.com/maps/contrib/108851318565534685060"">Coyote&#39;s Bar &amp; Grill</a>","AWU5eFjom4_5sTH1JVLPEt06S71r68U9xD-cH08XyZ0fbt187IOa7hec2yaQYKTJh9P57ziZy8l6F63Aq0yyJhCbwwjnPTNgZmZB8kJrUEr4CTS1yvEEzHP7Ndncxqo-DR4bVfdtvu264kaYvWjfB-ShDDMCyBT4muok9f-_q8aGbWxFq_kc","4032","ChIJf7Hdiu0PlVQRVY3EvQz9IG0","G3CC+3G Hillsboro, OR, USA","84QVG3CC+3G","2","4.1","ChIJf7Hdiu0PlVQRVY3EvQz9IG0","GOOGLE","bar","night_club","restaurant","point_of_interest","food","establishment","1686","5301 West Baseline Road, Hillsboro"
"","","","southwest","45.5189461197085","-122.9299774302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5314001","-122.9617242","northeast","45.5325084802915","-122.9602188197085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png","#7B9EB0","https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet","Domino's Pizza","True","3024","<a href=""https://maps.google.com/maps/contrib/112891055077448806039"">Erica Balderrama</a>","AWU5eFgWA62tnaoJyUB2ALOWQ_wuwgjmPK2PARgMCTHhJxpSaFFN_ktj_4KqXaepJszKlBqm6GPwNOCuI_3u_WI1zj7C5_GKbRTB1th4qvjLPpQQ2ZpqJ7YtuiL4fPT99C0CosZ8ROK2hkGdVomBdufU081MVP4RGiItRtNX2m9e-l2xszf3","4032","ChIJj-5sBU4FlVQRFdFemOmd4fo","G2JQ+H8 Hillsboro, OR, USA","84QVG2JQ+H8","1","3.9","ChIJj-5sBU4FlVQRFdFemOmd4fo","GOOGLE","meal_delivery","meal_takeaway","restaurant","point_of_interest","food","establishment","533","1991 Northeast Cornell Road Suite 130 Ste 110, Hillsboro"
"","","","southwest","45.5298105197085","-122.9629167802915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5062386","-122.9568592","northeast","45.5075173802915","-122.9554121697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Subway","True","2988","<a href=""https://maps.google.com/maps/contrib/109372592349602261793"">Street Smart</a>","AWU5eFgsKq8lK2GHJuyYS4W6YE1_sA4qsTZFQS9tyEpxr5Fz1CG3xOD0kOwXP3MiyGUajHnTl-vzJZdjdEJcRCNCd7oWl9013YaLjr9E6CC6BWyFyv_6MQHVCPkQvieq8xAigni9aoZ2atTc0nW8x0WS6YnUYgwD68YlnNI4B9avzGbwHCtm","5312","ChIJ2WrLURcQlVQRikqa0hiFEDE","G24V+F7 Hillsboro, OR, USA","84QVG24V+F7","1","3.7","ChIJ2WrLURcQlVQRikqa0hiFEDE","GOOGLE","meal_takeaway","restaurant","point_of_interest","food","establishment","","253","2375 Southeast Tualatin Valley Highway, Hillsboro"
"","","","southwest","45.5048194197085","-122.9581101302915","","","","","","","","","","","","","","","","","","","","","","","",""
